feature_id,name,feature_type,latitude,longitude,flood_risk
way/353750588,,building,19.0245385,73.0293971,True
way/353750589,,building,19.027343,73.0235967,True
way/353750590,,building,19.0269227,73.0321937,True
way/353750591,,building,19.0271347,73.0235869,True
way/353750592,,building,19.0242962,73.0283955,True
way/353750593,,building,19.0268939,73.0235826,True
way/353750594,,building,19.0278104,73.0236541,True
way/353750595,,building,19.0252576,73.029547,True
way/353750596,,building,19.0253016,73.0289214,True
way/353750597,,building,19.0248091,73.0288263,True
way/353750598,,building,19.0256387,73.0292995,True
way/353760938,,building,19.024789,73.0330137,True
way/353760950,,building,19.0250755,73.033067,True
way/353760958,,building,19.0250824,73.0332308,True
way/353770040,,building,19.0388413,73.0261207,True
way/353770047,,building,19.0370335,73.0247977,True
way/353770048,,building,19.0353573,73.0282429,True
way/353770049,,building,19.0391636,73.0277569,True
way/353770050,,building,19.0383463,73.027844,True
way/353770051,,building,19.0388211,73.0266251,True
way/353770052,,building,19.0322404,73.0253188,True
way/353770053,,building,19.0374483,73.0277873,True
way/353770054,,building,19.0375138,73.023599,True
way/353770055,,building,19.0387058,73.0267598,True
way/353770056,,building,19.0321769,73.0255618,True
way/353770057,,building,19.0381123,73.0274416,True
way/353770058,,building,19.0320888,73.0260182,True
way/353770059,,building,19.0320399,73.0265907,True
way/353770060,,building,19.0378144,73.0233207,True
way/353770061,,building,19.0315017,73.0265706,True
way/353770062,,building,19.0317541,73.026912,True
way/353770063,,building,19.0390444,73.0270591,True
way/353770064,,building,19.0362484,73.0265099,True
way/353770065,,building,19.0322883,73.0247826,True
way/353770066,,building,19.0321213,73.0262767,True
way/353770067,,building,19.0379972,73.0229112,True
way/353770068,,building,19.0371308,73.02844,True
way/353770069,,building,19.0322125,73.0250372,True
way/353770070,,building,19.0363644,73.027608,True
way/353770071,,building,19.0330289,73.0252156,True
way/353770072,,building,19.0383112,73.0275514,True
way/353770073,,building,19.0380299,73.0277996,True
way/353770074,,building,19.0360044,73.0262076,True
way/353770075,,building,19.0313801,73.0261688,True
way/353770076,,building,19.038883,73.0264621,True
way/353770077,,building,19.0372366,73.0304606,True
way/353770078,,building,19.0366584,73.0284554,True
way/353770079,,building,19.0341175,73.0254179,True
way/353770080,,building,19.0337103,73.0250449,True
way/353770081,,building,19.0368748,73.0282344,True
way/353770082,,building,19.0317111,73.0261838,True
way/353770087,,building,19.0374326,73.0283688,True
way/353770088,,building,19.0385516,73.0269557,True
way/353770089,,building,19.0311728,73.0272063,True
way/353770090,,building,19.0390928,73.0274371,True
way/353770091,,building,19.0388281,73.0282301,True
way/353770092,,building,19.0348315,73.028084,True
way/353770093,,building,19.0378509,73.0277404,True
way/353770094,,building,19.0359635,73.0244269,True
way/353770095,,building,19.0353574,73.0288115,True
way/353770096,,building,19.0365708,73.0250962,True
way/353770097,,building,19.0312375,73.0260019,True
way/353770098,,building,19.0401547,73.0245129,True
way/353770099,,building,19.0362806,73.023919,True
way/353770100,,building,19.0361697,73.0253282,True
way/353770101,,building,19.0390623,73.0256924,True
way/353770104,,building,19.0368619,73.0251489,True
way/353770105,,building,19.0367207,73.025662,True
way/353770106,,building,19.0389283,73.025913,True
way/353770107,,building,19.0391778,73.0282122,True
way/353770108,,building,19.0360355,73.0243102,True
way/353770110,,building,19.0348322,73.0279072,True
way/353770111,,building,19.0361957,73.0241335,True
way/353770112,,building,19.0345682,73.02787,True
way/353770113,,building,19.0370413,73.0280716,True
way/353770114,,building,19.0347235,73.0279865,True
way/353770115,,building,19.039005,73.0282143,True
way/353770116,,building,19.0358829,73.0245293,True
way/353770118,,building,19.036519,73.0253455,True
way/353770120,,building,19.0369248,73.0253267,True
way/353770121,,building,19.0360436,73.0255527,True
way/353770122,,building,19.0392096,73.0258371,True
way/353770123,,building,19.0372047,73.0299301,True
way/353770124,,building,19.0364248,73.0268054,True
way/353770125,,building,19.0361058,73.0242227,True
way/353770126,,building,19.0369066,73.0266862,True
way/353770127,,building,19.037093,73.0254921,True
way/353770128,,building,19.0387986,73.0275887,True
way/353770130,,building,19.0364366,73.0248951,True
way/353770131,,building,19.0400156,73.0246222,True
way/353770132,,building,19.0387772,73.027874,True
way/353770133,,building,19.0377903,73.0281341,True
way/353770134,,building,19.0382695,73.0283508,True
way/353770135,,building,19.0380911,73.0283865,True
way/353770136,,building,19.0379405,73.0270568,True
way/353770137,,building,19.0373006,73.0239568,True
way/353770138,,building,19.0369614,73.0246785,True
way/353770139,,building,19.0363112,73.0266803,True
way/353770141,,building,19.0387904,73.0274169,True
way/353770142,,building,19.0379292,73.0282794,True
way/353770143,,building,19.0311608,73.026702,True
